user_time;mrss;threads;number of comparisons
3.76;92048;1;1
19.73;542048;1;10
116.16;550948;1;100
4.23;91016;2;1
25.78;643664;2;10
132.05;653572;2;100
5.07;91264;3;1
26.58;653508;3;10
145.25;678720;3;100
5.27;91460;4;1
23.63;673376;4;10
153.10;715044;4;100
6.03;92760;5;1
27.25;707816;5;10
159.53;772968;5;100
6.15;106448;6;1
25.22;700512;6;10
204.02;754004;6;100
7.34;92016;7;1
27.58;685880;7;10
203.89;774888;7;100
7.81;92212;8;1
31.45;748856;8;10
211.35;818124;8;100
7.87;122348;8;1
31.58;745208;8;10
211.92;820556;8;100
6.98;92016;7;1
29.97;652800;7;10
185.69;812192;7;100
6.07;91936;6;1
29.80;697320;6;10
183.51;765712;6;100
6.07;92772;5;1
27.42;707900;5;10
179.83;747408;5;100
5.59;91380;4;1
23.62;673548;4;10
152.22;717264;4;100
5.10;93144;3;1
25.34;651428;3;10
152.14;678964;3;100
4.56;91148;2;1
22.05;644680;2;10
131.84;652744;2;100
3.78;92072;1;1
19.72;563920;1;10
115.52;552904;1;100
7.74;93240;8;1
30.70;748712;8;10
221.51;824360;8;100
6.96;93116;7;1
28.84;680636;7;10
203.86;771764;7;100
6.53;91852;6;1
26.91;698468;6;10
182.52;759612;6;100
6.14;91800;5;1
27.43;705524;5;10
158.78;751520;5;100
5.62;91704;4;1
23.62;674632;4;10
151.80;716756;4;100
4.74;91212;3;1
23.95;650604;3;10
144.46;678768;3;100
4.25;91080;2;1
23.21;659604;2;10
134.23;652528;2;100
3.74;90912;1;1
19.75;541616;1;10
115.31;552000;1;100
