Assembly Accession 	Assembly Name                           	Organism Name                   	Organism Taxonomic ID 	Organism Infraspecific Names Breed 	Organism Infraspecific Names Strain 	Organism Infraspecific Names Cultivar 	Organism Infraspecific Names Ecotype 	Organism Infraspecific Names Isolate 	Organism Infraspecific Names Sex 	Annotation Name                                        	Assembly Stats Total Sequence Length 	Assembly Stats Total Number of Chromosomes 	Assembly Level  	Assembly Release Date 	WGS project accession 	Assembly Stats Contig N50 	Assembly Stats Scaffold N50 	Assembly Stats Number of Scaffolds 	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech                 	Assembly Submitter                                                     	Assembly BioProject Accession 	Assembly BioSample Accession 	Annotation Count Gene Total            	Annotation Count Gene Protein-coding 	Annotation Count Gene Pseudogene 	Type Material Display Text  	CheckM marker set   	CheckM completeness 	CheckM contamination
GCA_902374465.1    	MGYG-HGUT-01384                         	Ralstonia pickettii             	                  329 	                                   	                                    	                                      	                                     	MGYG-HGUT-01384                      	                                 	                                                       	                             5254771 	                                           	Scaffold        	2019-08-22            	CABKQE01              	                   653153 	                    1184555 	                                17 	                          	                             	                            	                            	                         	                         	                                         	EMG                                                                    	PRJEB33885                    	SAMEA5850887                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              91.55 	                4.86
GCF_902374465.1    	MGYG-HGUT-01384                         	Ralstonia pickettii             	                  329 	                                   	                                    	                                      	                                     	MGYG-HGUT-01384                      	                                 	GCF_902374465.1-RS_2024_04_27                          	                             5254771 	                                           	Scaffold        	2019-08-22            	CABKQE01              	                   653153 	                    1184555 	                                17 	                          	                             	                            	                            	                         	                         	                                         	EMG                                                                    	PRJEB33885                    	SAMEA5850887                 	4967                                   	                                4809 	                              81 	                            	Ralstonia pickettii 	              91.55 	                4.86
GCA_016466415.2    	ASM1646641v2                            	Ralstonia pickettii             	                  329 	                                   	K-288                               	                                      	                                     	                                     	                                 	Annotation submitted by University of Southampton      	                             4831420 	                                         3 	Complete Genome 	2021-08-17            	                      	                  3415996 	                    3415996 	                                 3 	                          	                             	                            	                            	                         	                         	Illumina HiSeq; PacBio RS                	University of Southampton                                              	PRJNA686860                   	SAMN17126705                 	4529                                   	                                4464 	                                 	assembly from type material 	Ralstonia pickettii 	              88.43 	                2.94
GCF_016466415.2    	ASM1646641v2                            	Ralstonia pickettii             	                  329 	                                   	K-288                               	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             4831420 	                                         3 	Complete Genome 	2021-08-17            	                      	                  3415996 	                    3415996 	                                 3 	                          	                             	                            	                            	                         	                         	Illumina HiSeq; PacBio RS                	University of Southampton                                              	PRJNA686860                   	SAMN17126705                 	4533                                   	                                4397 	                              73 	assembly from type material 	Ralstonia pickettii 	              88.43 	                2.94
GCA_030582395.1    	ASM3058239v1                            	Ralstonia pickettii             	                  329 	                                   	MCR                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5356255 	                                         3 	Complete Genome 	2023-08-02            	                      	                  3486479 	                    3486479 	                                 3 	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	Guangdong University of Technology                                     	PRJNA877814                   	SAMN30723673                 	5061                                   	                                4958 	                              36 	                            	Ralstonia pickettii 	              89.23 	                7.05
GCF_030582395.1    	ASM3058239v1                            	Ralstonia pickettii             	                  329 	                                   	MCR                                 	                                      	                                     	                                     	                                 	GCF_030582395.1-RS_2024_08_13                          	                             5356255 	                                         3 	Complete Genome 	2023-08-02            	                      	                  3486479 	                    3486479 	                                 3 	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	Guangdong University of Technology                                     	PRJNA877814                   	SAMN30723673                 	5064                                   	                                4959 	                              38 	                            	Ralstonia pickettii 	              89.23 	                7.05
GCA_020341455.1    	ASM2034145v1                            	Ralstonia pickettii             	                  329 	                                   	FDAARGOS_1535                       	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5008012 	                                         5 	Chromosome      	2021-10-07            	                      	                  3412430 	                    3412430 	                                 5 	                          	                             	                            	                            	                         	                         	Pacbio; Illumina                         	US Food and Drug Administration                                        	PRJNA231221                   	SAMN21402702                 	472Organism Infraspecific Names Breed5 	                                4587 	                              73 	assembly from type material 	Ralstonia pickettii 	              89.82 	                2.94
GCF_020341455.1    	ASM2034145v1                            	Ralstonia pickettii             	                  329 	                                   	FDAARGOS_1535                       	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5008012 	                                         5 	Chromosome      	2021-10-07            	                      	                  3412430 	                    3412430 	                                 5 	                          	                             	                            	                            	                         	                         	Pacbio; Illumina                         	US Food and Drug Administration                                        	PRJNA231221                   	SAMN21402702                 	4729                                   	                                4588 	                              76 	assembly from type material 	Ralstonia pickettii 	              89.82 	                2.94
GCA_900455835.1    	51699_E01                               	Ralstonia pickettii             	                  329 	                                   	NCTC11149                           	                                      	                                     	                                     	                                 	Annotation submitted by SC                             	                             4810167 	                                           	Contig          	2018-08-01            	UGVF01                	                  2565259 	                            	                                   	                          	                             	                            	                            	                         	                         	                                         	SC                                                                     	PRJEB6403                     	SAMEA4504058                 	4498                                   	                                4425 	                                 	assembly from type material 	Ralstonia pickettii 	              87.91 	                3.66
GCF_900455835.1    	51699_E01                               	Ralstonia pickettii             	                  329 	                                   	NCTC11149                           	                                      	                                     	                                     	                                 	GCF_900455835.1-RS_2024_08_15                          	                             4810167 	                                           	Contig          	2018-08-01            	UGVF01                	                  2565259 	                            	                                   	                          	                             	                            	                            	                         	                         	                                         	SC                                                                     	PRJEB6403                     	SAMEA4504058                 	4504                                   	                                4361 	                              75 	assembly from type material 	Ralstonia pickettii 	              87.91 	                3.66
