Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_000009765.2	ASM976v2	Streptomyces avermitilis MA-4680 = NBRC 14893		MA-4680					Annotation submitted by NITE	Complete Genome	2016-03-24		2
GCF_000009765.2	ASM976v2	Streptomyces avermitilis MA-4680 = NBRC 14893		MA-4680					GCF_000009765.2-RS_2024_03_28	Complete Genome	2016-03-24		2
GCA_000331185.2	ASM33118v2	Streptomyces rimosus subsp. rimosus ATCC 10970		ATCC 10970					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-03-19		2
GCF_000331185.2	ASM33118v2	Streptomyces rimosus subsp. rimosus ATCC 10970		ATCC 10970					GCF_000331185.2-RS_2024_04_16	Complete Genome	2021-03-19		2
GCA_008704425.1	ASM870442v1	Streptomyces fradiae ATCC 10745 = DSM 40063		ATCC 10745					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704425.1	ASM870442v1	Streptomyces fradiae ATCC 10745 = DSM 40063		ATCC 10745					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCA_020099395.1	ASM2009939v1	Streptomyces mobaraensis		DSM 40587					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-23		2
GCF_020099395.1	ASM2009939v1	Streptomyces mobaraensis		DSM 40587					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-23		2
GCA_000220705.2	ASM22070v2	Streptomyces xinghaiensis S187		S187						Complete Genome	2017-09-12		1
GCF_000220705.2	ASM22070v2	Streptomyces xinghaiensis S187		S187					GCF_000220705.2-RS_2024_03_21	Complete Genome	2017-09-12		1
GCA_001267885.1	ASM126788v1	Streptomyces ambofaciens ATCC 23877		ATCC 23877					Annotation submitted by Dynamique des Genomes et Adaptation Microbienne, Universite de Lorraine, France	Complete Genome	2015-08-17		2
GCF_001267885.1	ASM126788v1	Streptomyces ambofaciens ATCC 23877		ATCC 23877					GCF_001267885.1-RS_2024_04_26	Complete Genome	2015-08-17		2
GCA_008704795.1	ASM870479v1	Streptomyces spectabilis		ATCC 27465					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704795.1	ASM870479v1	Streptomyces spectabilis		ATCC 27465					GCF_008704795.1-RS_2024_04_27	Complete Genome	2019-09-26		1
GCA_014673495.1	ASM1467349v1	Streptomyces griseofuscus		DSM 40191					Annotation submitted by Technical University of Denmark	Complete Genome	2020-09-21		4
GCF_014673495.1	ASM1467349v1	Streptomyces griseofuscus		DSM 40191					GCF_014673495.1-RS_2024_03_28	Complete Genome	2020-09-21		4
GCA_019933235.1	ASM1993323v1	Streptomyces angustmyceticus		JCM 4053					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-13		1
GCF_019933235.1	ASM1993323v1	Streptomyces angustmyceticus		JCM 4053					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-13		1
GCA_000830005.1	ASM83000v1	Streptomyces vietnamensis		GIM4.0001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-01-29		2
GCF_000830005.1	ASM83000v1	Streptomyces vietnamensis		GIMV4.0001					GCF_000830005.1-RS_2024_05_02	Complete Genome	2015-01-29		2
GCA_037414505.1	Str_netropsis_B-235_v1	Streptomyces netropsis		M-141					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-03-20		1
GCF_037414505.1	Str_netropsis_B-235_v1	Streptomyces netropsis		M-141					GCF_037414505.1-RS_2024_04_05	Complete Genome	2024-04-05		1
GCA_016906185.1	ASM1690618v1	Streptomyces californicus		FDAARGOS_1209					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-18		3
GCF_016906185.1	ASM1690618v1	Streptomyces californicus		FDAARGOS_1209					GCF_016906185.1-RS_2024_03_28	Complete Genome	2021-02-18		3
GCA_006716135.1	ASM671613v1	Streptomyces calvus		DSM 41452					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-08		1
GCF_006716135.1	ASM671613v1	Streptomyces calvus		DSM 41452					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-08		1
GCA_009299385.1	ASM929938v1	Streptomyces cinereoruber		ATCC 19740					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_009299385.1	ASM929938v1	Streptomyces cinereoruber		ATCC 19740					GCF_009299385.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_014701115.1	ASM1470111v1	Streptomyces aurantiacus		JCM 4677					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Complete Genome	2020-09-11		1
GCF_014701115.1	ASM1470111v1	Streptomyces aurantiacus		JCM 4677					GCF_014701115.1-RS_2024_05_26	Complete Genome	2020-09-11		1
GCA_015689475.1	ASM1568947v1	Streptomyces solisilvae		HNM0141					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-25		1
GCF_015689475.1	ASM1568947v1	Streptomyces solisilvae		HNM0141					GCF_015689475.1-RS_2024_05_05	Complete Genome	2020-11-25		1
