Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats Contig L50	Assembly Stats GC Count	Assembly Stats GC Percent	CheckM contamination
GCA_000717245.1	[Kitasatospora] papulosa	NRRL B-16504	7568795	625243	4	5370961	71	0.09
GCA_026339595.1	[Kitasatospora] papulosa	NBC_01721	7506106	1269900	3	5335107	71	0.09
GCA_035940175.1	[Kitasatospora] papulosa	NBC_01344	7648620	7648620	1	5438364	71	0.09
GCA_035980495.1	[Kitasatospora] papulosa	NBC_01295	7559771	7559771	1	5371411	71	0.57
GCA_036237255.1	[Kitasatospora] papulosa	NBC_01355	7734989	7734989	1	5488239	71	0.09
GCA_036237335.1	[Kitasatospora] papulosa	NBC_01347	7680165	7680165	1	5448231	71	0.09
GCA_036240075.1	[Kitasatospora] papulosa	NBC_01269	7532608	7413447	1	5351238	71	0.09
GCA_000820785.2	Candidatus Streptomyces massiliensis AP10	AP10	7406444	3851	452	4713972	72	
GCA_018114805.1	Candidatus Streptomyces philanthi	23Af2	7341895	7341895	1	5312385	72.5	0.57
GCA_014648775.1	Streptomyces abikoensis	JCM 4002	7000866	785131	4	5057931	72	0.93
GCA_040631555.1	Streptomyces abikoensis	NPDC020039	7753706	204567	12	5574383	72	1.69
GCA_040631735.1	Streptomyces abikoensis	NPDC019920	7474701	503602	6	5386403	72	1.31
GCA_040650195.1	Streptomyces abikoensis	NPDC048735	7357230	187338	12	5317307	72.5	0.93
GCA_001751345.1	Streptomyces abyssalis	SCSIO 10389	6910195	65923	31	4755115	71	0.69
GCA_001751365.1	Streptomyces abyssalis	SCSIO 10390	6610598	652893	4	4680357	71	
GCA_008974245.1	Streptomyces abyssomicinicus	CHI39	7929138	307082	8	5788978	73	0.88
GCA_030816385.1	Streptomyces achromogenes	W4I19-2	8999607	8968248	1	6437948	71.5	0.38
GCA_030816715.1	Streptomyces achromogenes	B2I10	9170506	9170506	1	6558221	71.5	0.78
GCA_040637715.1	Streptomyces achromogenes	NPDC028213	8312581	21262	101	6035448	72.5	1.04
GCA_040646515.1	Streptomyces achromogenes	NPDC045763	8522940	171400	16	6180566	72.5	1.23
GCA_040678275.1	Streptomyces achromogenes	NPDC052718	8364053	89337	26	6067452	72.5	0.85
GCA_040702825.1	Streptomyces achromogenes	NPDC064945	8529223	242307	12	6183808	72.5	1.23
GCA_000720835.1	Streptomyces achromogenes subsp. achromogenes	NRRL B-2120	8112410	185677	16	5885061	72.5	0.47
GCA_009377235.1	Streptomyces acidicola	K1PN6	10256521	34036	91	7209815	70.5	1.53
GCA_040682235.1	Streptomyces acidicola	NPDC051297	10411609	194464	18	7318198	70.5	1.36
