Assembly Accession 	Organism Name                                           	Organism Infraspecific Names Strain 	Assembly Stats Total Sequence Length 	Assembly Stats Contig N50 	Assembly Stats Contig L50 	Assembly Stats GC Count 	Assembly Stats GC Percent 	CheckM contamination
GCA_002012345.1    	blood disease bacterium A2-HR MARDI                     	A2-HR MARDI                         	                             5089760 	                  3603619 	                        1 	                3382980 	                     66.5 	                0.17
GCA_024158925.1    	Ralstonia chuxiongensis                                 	21YRMH01-3                          	                             5612125 	                   876322 	                        3 	                3562205 	                     63.5 	                0.72
GCA_958404865.1    	Ralstonia chuxiongensis                                 	LMG 32966                           	                             5779273 	                   173514 	                        8 	                3653330 	                     63   	                0.57
GCA_958405655.1    	Ralstonia condita                                       	LMG 7141                            	                             4478313 	                  1155213 	                        2 	                2884449 	                     64.5 	                0.62
GCA_958347695.1    	Ralstonia edaphis                                       	LMG 19089                           	                             5323005 	                  1110013 	                        2 	                3432733 	                     64.5 	                0.55
GCA_958349005.1    	Ralstonia edaphis                                       	LMG 6871                            	                             5286490 	                   568794 	                        4 	                3407835 	                     64.5 	                0.38
GCA_958350185.1    	Ralstonia edaphis                                       	R-16034                             	                             5329138 	                   927247 	                        3 	                3436730 	                     64.5 	                0.21
GCA_958415495.1    	Ralstonia flaminis                                      	LMG 18101                           	                             5681444 	                   271102 	                        7 	                3598313 	                     63.5 	                2.86
GCA_958347595.1    	Ralstonia holmesii                                      	LMG 32967                           	                             5429752 	                   535352 	                        4 	                3458268 	                     63.5 	                0.55
GCA_958405615.1    	Ralstonia holmesii                                      	LMG 18096                           	                             5519387 	                   410361 	                        4 	                3513060 	                     63.5 	                2.38
GCA_958415225.1    	Ralstonia holmesii                                      	LMG 18093                           	                             5368013 	                   500667 	                        4 	                3415081 	                     63.5 	                0.99
GCA_001653935.1    	Ralstonia insidiosa                                     	FC1138                              	                             5987762 	                  3968071 	                        1 	                3810402 	                     63.5 	                0.85
GCA_001663855.1    	Ralstonia insidiosa                                     	ATCC 49129                          	                             6177004 	                  3921238 	                        1 	                3888625 	                     63   	                0.64
GCA_002939035.1    	Ralstonia insidiosa                                     	WCHRI065437                         	                             6115292 	                   910997 	                        3 	                3891409 	                     63.5 	                0.75
GCA_002939165.1    	Ralstonia insidiosa                                     	WCHRI065162                         	                             5924662 	                   329971 	                        7 	                3756929 	                     63.5 	                1.85
GCA_008801405.1    	Ralstonia insidiosa                                     	CCUG 46789                          	                             5723831 	                  3535844 	                        1 	                3646243 	                     63.5 	                0.66
GCA_012956805.1    	Ralstonia insidiosa                                     	5047                                	                             6368856 	                   172241 	                       13 	                4036961 	                     63.5 	                3.59
GCA_019795305.1    	Ralstonia insidiosa                                     	AU6853                              	                             6028148 	                  1881815 	                        2 	                3833857 	                     63.5 	                0.66
GCA_019795515.1    	Ralstonia insidiosa                                     	AU39423                             	                             5685034 	                   566273 	                        3 	                3618602 	                     63.5 	                1.19
GCA_022214855.1    	Ralstonia insidiosa                                     	58/1                                	                             7029311 	                   790846 	                        4 	                4468334 	                     63.5 	               30.09
GCA_022631215.1    	Ralstonia insidiosa                                     	15-1563-3                           	                             6325797 	                  3722972 	                        1 	                4003902 	                     63.5 	                0.23
GCA_023217975.1    	Ralstonia insidiosa                                     	TS                                  	                             6468200 	                   310997 	                        7 	                4095205 	                     63.5 	                1.35
GCA_028920815.1    	Ralstonia insidiosa                                     	171870003-1                         	                             6271672 	                  3668357 	                        1 	                3971872 	                     63.5 	                0.4
GCA_000953875.1    	Ralstonia mannitolilytica                               	MRY14-0246                          	                             4669233 	                   328267 	                        7 	                3071339 	                     66   	                0.62
GCA_000954135.2    	Ralstonia mannitolilytica                               	SN82F48                             	                             5072301 	                  3503899 	                        1 	                3321652 	                     65.5 	                0.77
GCA_001628775.1    	Ralstonia mannitolilytica                               	SN83A39                             	                             4842994 	                  3379270 	                        1 	                3198479 	                     66   	                1.33
GCA_002863525.1    	Ralstonia mannitolilytica                               	GML-Rals1-TR                        	                             5084397 	                  1390447 	                        2 	                3332502 	                     65.5 	                0.61
GCA_002939115.1    	Ralstonia mannitolilytica                               	WCHRM065694                         	                             4783043 	                   332344 	                        4 	                3142014 	                     65.5 	                0.42
GCA_002939145.1    	Ralstonia mannitolilytica                               	WCHRM065837                         	                             4990628 	                   379498 	                        4 	                3283211 	                     66   	                0.68
GCA_011044515.1    	Ralstonia mannitolilytica                               	Guangzhou-RMAB10                    	                             4838688 	                  3495817 	                        1 	                3177256 	                     65.5 	                0.36
GCA_019042415.1    	Ralstonia mannitolilytica                               	AU11682                             	                             4720405 	                   755447 	                        3 	                3100702 	                     65.5 	                0.42
GCA_019795175.1    	Ralstonia mannitolilytica                               	HI3842                              	                             5383646 	                   296695 	                        6 	                3499629 	                     65   	                0.68
GCA_030550865.1    	Ralstonia mannitolilytica                               	Patient MN16                        	                             5338286 	                  3072998 	                        1 	                3504787 	                     65.5 	                2.14
GCA_031932125.1    	Ralstonia mannitolilytica                               	URK03                               	                             5310746 	                  3620683 	                        1 	                3487649 	                     65.5 	                2.14
GCA_039522805.1    	Ralstonia mannitolilytica                               	JCM 11284                           	                             4817427 	                   353860 	                        4 	                3170365 	                     66   	                0.91
GCA_900455575.1    	Ralstonia mannitolilytica                               	NCTC10894                           	                             4860652 	                  3323310 	                        1 	                3197144 	                     66   	                0.91
GCA_900455685.1    	Ralstonia mannitolilytica                               	NCTC10893                           	                             4858077 	                  3496820 	                        1 	                3195673 	                     66   	                0.91
